"National
Dex","Pokemon
Name",Generation,Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",Kitakami Dex # (SV),Blueberry Dex # (SV),HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
65,Alakazam,1,,65,65,91,91,41,42,22,22,,,104,,,44,44,,,,51,51,,,,,33,,60,,,,55,50,45,135,95,120,500,Psychic,,Synchronize,Inner Focus,Magic Guard,"4'11""","1,5","105,8",48,,,,3,,,250,50,Med Slow,50,Brown,M (75%),20,Human-Like,,
"65,1",Alakazam (Mega),6,Mega Evolution,,,,,,42,,,,,104,,,44,44,,,,51,51,,,,,,,,,,,55,50,65,175,95,150,590,Psychic,,Trace,,,"3'11""","1,2","105,8",48,,,,3,,,300,50,Med Slow,50,Brown,M (75%),20,Human-Like,,
66,Machop,1,,66,66,140,142,73,75,40,40,,,,57,,95,95,,,45,117,117,,,57,138,,,154,,,,70,80,50,35,35,35,305,Fighting,,Guts,No Guard,Steadfast,"2'07""","0,8",43,"19,5",,1,,,,,61,180,Med Slow,50,Gray,M (75%),20,Human-Like,,Lv. 28
67,Machoke,1,,67,67,141,143,74,76,41,41,,,,58,,96,96,,,46,118,118,,,58,139,,,155,,,,80,100,70,50,60,45,405,Fighting,,Guts,No Guard,Steadfast,"4'11""","1,5","155,4","70,5",,2,,,,,142,90,Med Slow,50,Gray,M (75%),20,Human-Like,,Trade
68,Machamp,1,,68,68,142,144,75,77,42,42,,,,59,,97,97,,,47,119,119,,,59,140,,,156,,,,90,130,80,65,85,55,505,Fighting,,Guts,No Guard,Steadfast,"5'03""","1,6","286,6",130,,3,,,,,253,45,Med Slow,50,Gray,M (75%),20,Human-Like,,
69,Bellsprout,1,,69,69,64,64,,,,,,,,,26,,,,,,,,,,,,,,,,23,,50,75,35,70,30,40,300,Grass,Poison,Chlorophyll,,Gluttony,"2'04""","0,7","8,8",4,,1,,,,,60,255,Med Slow,50,Green,Neutral,20,Grass,,Lv. 21
70,Weepinbell,1,,70,70,65,65,,,,,,,,,27,,,,,,,,,,,,,,,,24,,65,90,50,85,45,55,390,Grass,Poison,Chlorophyll,,Gluttony,"3'03""",1,"14,1","6,4",,2,,,,,137,120,Med Slow,50,Green,Neutral,20,Grass,,Leaf Stone
71,Victreebel,1,,71,71,66,66,,,,,,,,,28,,,,,,,,,,,,,,,,25,,80,105,65,100,70,70,490,Grass,Poison,Chlorophyll,,Gluttony,"5'07""","1,7","34,2","15,5",,3,,,,,245,45,Med Slow,50,Green,Neutral,20,Grass,,
72,Tentacool,1,,72,72,162,164,66,68,136,136,,,,25,,106,106,38,53,55,129,129,38,56,67,,40,,170,,,50,40,40,35,50,100,70,335,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,"2'11""","0,9","100,3","45,5",,,,,1,,67,190,Slow,50,Blue,Neutral,20,Water 3,,Lv. 30
73,Tentacruel,1,,73,73,163,165,67,69,137,137,,,,26,,107,107,39,54,56,130,130,39,57,68,,41,,171,,,51,80,70,65,80,120,100,515,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,"5'03""","1,6","121,3",55,,,,,2,,180,60,Slow,50,Blue,Neutral,20,Water 3,,
74,Geodude,1,,74,74,34,34,57,58,31,31,,,,,9,229,,,101,,298,,,119,,,,,46,,80,,40,80,100,30,30,20,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,"1'04""","0,4","44,1",20,,,1,,,,60,255,Med Slow,50,Brown,Neutral,15,Mineral,,Lv. 25
"74,1",Geodude (Alolan),7,Alolan Form,,,,,,,,,,,,,,229,,,101,,298,,,119,,,,,,,,96,40,80,100,30,30,20,300,Rock,Electric,Magnet Pull,Sturdy,Galvanize,"1'04""","0,4","44,8","20,3",,,1,,,,60,255,Med Slow,50,Gray,Neutral,15,Mineral,,Lv. 25
75,Graveler,1,,75,75,35,35,58,59,32,32,,,,,10,230,,,102,,299,,,120,,,,,47,,81,,55,95,115,45,45,35,390,Rock,Ground,Rock Head,Sturdy,Sand Veil,"3'03""",1,"231,5",105,,,2,,,,137,120,Med Slow,50,Brown,Neutral,15,Mineral,,Trade
"75,1",Graveler (Alolan),7,Alolan Form,,,,,,,,,,,,,,230,,,102,,299,,,120,,,,,,,,97,55,95,115,45,45,35,390,Rock,Electric,Magnet Pull,Sturdy,Galvanize,"3'03""",1,"242,5",110,,,2,,,,137,120,Med Slow,50,Gray,Neutral,15,Mineral,,Trade
76,Golem,1,,76,76,36,36,59,60,33,33,,,,,11,231,,,103,,300,,,121,,,,,48,,82,,80,120,130,55,65,45,495,Rock,Ground,Rock Head,Sturdy,Sand Veil,"4'07""","1,4","661,4",300,,,3,,,,248,45,Med Slow,50,Brown,Neutral,15,Mineral,,
"76,1",Golem (Alolan),7,Alolan Form,,,,,,,,,,,,,,231,,,103,,300,,,121,,,,,,,,98,80,120,130,55,65,45,495,Rock,Electric,Magnet Pull,Sturdy,Galvanize,"5'07""","1,7","696,7",316,,,3,,,,248,45,Med Slow,50,Gray,Neutral,15,Mineral,,
77,Ponyta,1,,77,77,201,206,,,90,90,,,,,,,,,,,,,,,,333,,105,23,,,,50,85,55,65,65,90,410,Fire,,Run Away,Flash Fire,Flame Body,"3'03""",1,"66,1",30,,,,,,1,82,190,Med Fast,50,Yellow,Neutral,20,Field,,Lv. 40
"77,1",Ponyta (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,333,,105,,,,,50,85,55,65,65,90,410,Psychic,,Run Away,Pastel Veil,Anticipation,"2'07""","0,8","52,9",24,,,,,,1,82,190,Med Fast,50,White,Neutral,20,Field,,Lv. 40
78,Rapidash,1,,78,78,202,207,,,91,91,,,,,,,,,,,,,,,,334,,106,24,,,,65,100,70,80,80,105,500,Fire,,Run Away,Flash Fire,Flame Body,"5'07""","1,7","209,4",95,,,,,,2,175,60,Med Fast,50,Yellow,Neutral,20,Field,,
"78,1",Rapidash (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,334,,106,,,,,65,100,70,80,80,105,500,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,"5'07""","1,7","176,4",80,,,,,,2,175,60,Med Fast,50,White,Neutral,20,Field,,
79,Slowpoke,1,,79,79,80,80,,,,,,,,133,,37,37,,18,,44,44,,18,,,1,,,324,,,90,65,65,40,40,15,315,Water,Psychic,Oblivious,Own Tempo,Regenerator,"3'11""","1,2","79,4",36,1,,,,,,63,190,Med Fast,50,Pink,Neutral,20,Monster,Water 1,Lv. 37/Trade (Holding King's Rock)
"79,1",Slowpoke (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,75,90,65,65,40,40,15,315,Psychic,,Gluttony,Own Tempo,Regenerator,"3'11""","1,2","79,4",36,1,,,,,,63,190,Med Fast,50,Pink,Neutral,20,Monster,Water 1,Galarica Cuff/Galarica Wreath
80,Slowbro,1,,80,80,81,81,,,,,,,,134,,38,38,,19,,45,45,,19,,,2,,,325,,,95,75,110,100,80,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,"5'03""","1,6","173,1","78,5",,,2,,,,172,75,Med Fast,50,Pink,Neutral,20,Monster,Water 1,
"80,1",Slowbro (Mega),6,Mega Evolution,,,,,,,,,,,,,,38,38,,19,,45,45,,19,,,,,,,,,95,75,180,130,80,30,590,Water,Psychic,Shell Armor,,,"6'07""",2,"264,6",120,,,2,,,,207,75,Med Fast,50,Pink,Neutral,20,Monster,Water 1,
"80,2",Slowbro (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,76,95,100,85,100,70,30,480,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,"5'03""","1,6","155,4","70,5",,,2,,,,172,75,Med Fast,50,Pink,Neutral,20,Monster,Water 1,
81,Magnemite,1,,81,81,118,119,82,84,,178,,48,,,69,47,47,,25,,54,54,,25,,,105,,177,209,,116,25,35,70,95,55,45,325,Electric,Steel,Magnet Pull,Sturdy,Analytic,"1'00""","0,3","13,2",6,,,,1,,,65,190,Med Fast,50,Gray,None,20,Mineral,,Lv. 30
82,Magneton,1,,82,82,119,120,83,85,,179,,49,,,70,48,48,,26,,55,55,,26,,,106,,178,210,,117,50,60,95,120,70,70,465,Electric,Steel,Magnet Pull,Sturdy,Analytic,"3'03""",1,"132,3",60,,,,2,,,163,60,Med Fast,50,Gray,None,20,Mineral,,Thunder Stone
83,Farfetch'd,1,,83,83,158,160,,,,,,,61,,,,,,,,,,,,,218,,,,,,,52,90,55,58,62,60,377,Normal,Flying,Keen Eye,Inner Focus,Defiant,"2'07""","0,8","33,1",15,,1,,,,,132,45,Med Fast,50,Brown,Neutral,20,Flying,Field,
"83,1",Farfetch'd (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,52,95,55,58,62,55,377,Fighting,,Steadfast,Steadfast,Scrappy,"2'07""","0,8","92,6",42,,1,,,,,132,45,Med Fast,50,Brown,Neutral,20,Flying,Field,3 Critical Hits in 1 Battle
84,Doduo,1,,84,84,199,204,92,95,,,,,94,,,,,,,,,,,,,,,,,,,1,35,85,45,35,35,75,310,Normal,Flying,Run Away,Early Bird,Tangled Feet,"4'07""","1,4","86,4","39,2",,1,,,,,62,190,Med Fast,50,Brown,Neutral,20,Flying,,Lv. 31
85,Dodrio,1,,85,85,200,205,93,96,,,,,95,,,,,,,,,,,,,,,,,,,2,60,110,70,60,60,110,470,Normal,Flying,Run Away,Early Bird,Tangled Feet,"5'11""","1,8","187,8","85,2",,2,,,,,165,45,Med Fast,50,Brown,Neutral,20,Flying,,
86,Seel,1,,86,86,176,178,,,,,,265,,,,,,,,,115,115,,,,,,,,,,143,65,45,55,45,70,45,325,Water,,Thick Fat,Hydration,Ice Body,"3'07""","1,1","198,4",90,,,,,1,,65,190,Med Fast,50,White,Neutral,20,Water 1,Field,Lv. 34
87,Dewgong,1,,87,87,177,179,,,,,,266,,,,,,,,,116,116,,,,,,,,,,144,90,70,80,70,95,70,475,Water,Ice,Thick Fat,Hydration,Ice Body,"5'07""","1,7","264,6",120,,,,,2,,166,75,Med Fast,50,White,Neutral,20,Water 1,Field,
88,Grimer,1,,88,88,116,117,106,111,,,,64,,,,50,50,,28,,57,57,,28,,,,,,194,,,80,80,50,40,50,25,325,Poison,,Stench,Sticky Hold,Poison Touch,"2'11""","0,9","66,1",30,1,,,,,,65,190,Med Fast,50,Purple,Neutral,20,Amorphous,,Lv. 38
"88,1",Grimer (Alolan),7,Alolan Form,,,,,,,,,,,,,,50,50,,28,,57,57,,28,,,,,,,,68,80,80,50,40,50,25,325,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,"2'04""","0,7","92,6",42,1,,,,,,65,190,Med Fast,50,Green,Neutral,20,Amorphous,,Lv. 38
89,Muk,1,,89,89,117,118,107,112,,,,65,,,,51,51,,29,,58,58,,29,,,,,,195,,,105,105,75,65,100,50,500,Poison,,Stench,Sticky Hold,Poison Touch,"3'11""","1,2","66,1",30,1,1,,,,,175,75,Med Fast,50,Purple,Neutral,20,Amorphous,,
"89,1",Muk (Alolan),7,Alolan Form,,,,,,,,,,,,,,51,51,,29,,58,58,,29,,,,,,,,69,105,105,75,65,100,50,500,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,"3'03""",1,"114,6",52,1,1,,,,,175,75,Med Fast,50,Green,Neutral,20,Amorphous,,
90,Shellder,1,,90,90,169,171,,,,,,,,36,,115,115,,,,138,138,,,,150,131,,,329,,,30,65,100,45,25,40,305,Water,,Shell Armor,Skill Link,Overcoat,"1'00""","0,3","8,8",4,,,1,,,,61,190,Slow,50,Purple,Neutral,20,Water 3,,Water Stone
91,Cloyster,1,,91,91,170,172,,,,,,,,37,,116,116,,,,139,139,,,,151,132,,,330,,,50,95,180,85,45,70,525,Water,Ice,Shell Armor,Skill Link,Overcoat,"4'11""","1,5","292,1","132,5",,,2,,,,184,60,Slow,50,Purple,Neutral,20,Water 3,,
92,Gastly,1,,92,92,58,58,,,69,69,,,,,30,61,61,23,32,,73,73,23,32,,141,,,136,68,118,,30,35,30,100,35,80,310,Ghost,Poison,Levitate,,,"4'03""","1,3","0,2","0,1",,,,1,,,62,190,Med Slow,50,Purple,Neutral,20,Amorphous,,Lv. 25
93,Haunter,1,,93,93,59,59,,,70,70,,,,,31,62,62,24,33,,74,74,24,33,,142,,,137,69,119,,45,50,45,115,55,95,405,Ghost,Poison,Levitate,,,"5'03""","1,6","0,2","0,1",,,,2,,,142,90,Med Slow,50,Purple,Neutral,20,Amorphous,,Trade
94,Gengar,1,,94,94,60,60,,,71,71,,,,,32,63,63,25,34,,75,75,25,34,,143,,,138,70,120,,60,65,60,130,75,110,500,Ghost,Poison,Cursed Body,,,"4'11""","1,5","89,3","40,5",,,,3,,,250,45,Med Slow,50,Purple,Neutral,20,Amorphous,,
"94,1",Gengar (Mega),6,Mega Evolution,,,,,,,,,,,,,32,63,63,25,34,,75,75,25,34,,,,,,,,,60,65,80,170,95,130,600,Ghost,Poison,Shadow Tag,,,"4'07""","1,4","89,3","40,5",,,,3,,,300,45,Med Slow,50,Purple,Neutral,20,Amorphous,,
95,Onix,1,,95,95,62,62,,,34,34,,71,,53,,,,,,,,,,,,178,,,118,,,,35,45,160,30,45,70,385,Rock,Ground,Rock Head,Sturdy,Weak Armor,"28'10""","8,8",463,210,,,1,,,,77,45,Med Fast,50,Gray,Neutral,25,Mineral,,Trade (Holding Metal Coat)
96,Drowzee,1,,96,96,87,87,,,,,,,,,,54,54,,,13,66,66,,,20,,,,,66,,,60,48,45,43,90,42,328,Psychic,,Insomnia,Forewarn,Inner Focus,"3'03""",1,"71,4","32,4",,,,,1,,66,190,Med Fast,50,Yellow,Neutral,20,Human-Like,,Lv. 26
97,Hypno,1,,97,97,88,88,,,,,,,,,,55,55,,,14,67,67,,,21,,,,,67,,,85,73,70,73,115,67,483,Psychic,,Insomnia,Forewarn,Inner Focus,"5'03""","1,6","166,7","75,6",,,,,2,,169,75,Med Fast,50,Yellow,Neutral,20,Human-Like,,
98,Krabby,1,,98,98,164,166,,,,,,,,,,,,,,,,,,,,98,38,,,,,,30,105,90,25,25,50,325,Water,,Hyper Cutter,Shell Armor,Sheer Force,"1'04""","0,4","14,3","6,5",,1,,,,,65,225,Med Fast,50,Red,Neutral,20,Water 3,,Lv. 28
99,Kingler,1,,99,99,165,167,,,,,,,,,,,,,,,,,,,,99,39,,,,,,55,130,115,50,50,75,475,Water,,Hyper Cutter,Shell Armor,Sheer Force,"4'03""","1,3","132,3",60,,2,,,,,166,60,Med Fast,50,Red,Neutral,20,Water 3,,
100,Voltorb,1,,100,100,120,121,84,87,,,,,,,72,,,,,,,,,,,,,,,207,,,40,30,50,55,55,100,330,Electric,,Soundproof,Static,Aftermath,"1'08""","0,5","22,9","10,4",,,,,,1,66,190,Med Fast,50,Red,None,20,Mineral,,Lv. 30
"100,1",Voltorb (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,40,30,50,55,55,100,330,Electric,Grass,Soundproof,Static,Aftermath,"1'08""","0,5","28,7",13,,,,,,1,66,190,Med Fast,50,Red,None,20,Mineral,,Leaf Stone
101,Electrode,1,,101,101,121,122,85,88,,,,,,,73,,,,,,,,,,,,,,,208,,,60,50,70,80,80,150,490,Electric,,Soundproof,Static,Aftermath,"3'11""","1,2","146,8","66,6",,,,,,2,172,60,Med Fast,50,Red,None,20,Mineral,,
"101,1",Electrode (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,60,50,70,80,80,150,490,Electric,Grass,Soundproof,Static,Aftermath,"3'11""","1,2","156,5",71,,,,,,2,172,60,Med Fast,50,Red,None,20,Mineral,,
102,Exeggcute,1,,102,102,104,105,,,,,,,,136,,269,,,,84,355,,,,102,,205,,,,,3,60,40,80,60,45,40,325,Grass,Psychic,Chlorophyll,,Harvest,"1'04""","0,4","5,5","2,5",,,1,,,,65,90,Slow,50,Pink,Neutral,20,Grass,,Leaf Stone
103,Exeggutor,1,,103,103,105,106,,,,,,,,137,,270,,,,85,356,,,,103,,206,,,,,4,95,95,85,125,75,55,530,Grass,Psychic,Chlorophyll,,Harvest,"6'07""",2,"264,6",120,,,,2,,,186,45,Slow,50,Yellow,Neutral,20,Grass,,
"103,1",Exeggutor (Alolan),7,Alolan Form,,,,,,,,,,,,,,270,,,,85,356,,,,103,,206,,,,,4,95,105,85,125,75,45,530,Grass,Dragon,Frisk,,Harvest,"35'09""","10,9","916,2","415,6",,,,2,,,186,45,Slow,50,Yellow,Neutral,20,Grass,,
104,Cubone,1,,104,104,203,208,,,,,,,,60,,163,,90,,,197,,98,,,,170,,,,,,50,50,95,40,50,35,320,Ground,,Rock Head,Lightningrod,Battle Armor,"1'04""","0,4","14,3","6,5",,,1,,,,64,190,Med Fast,50,Brown,Neutral,20,Monster,,Lv. 28/Lv. 28 (Night)
105,Marowak,1,,105,105,204,209,,,,,,,,61,,164,,91,,,198,,99,,,,171,,,,,,60,80,110,50,80,45,425,Ground,,Rock Head,Lightningrod,Battle Armor,"3'03""",1,"99,2",45,,,2,,,,149,75,Med Fast,50,Brown,Neutral,20,Monster,,
"105,1",Marowak (Alolan),7,Alolan Form,,,,,,,,,,,,,,164,,91,,,198,,99,,,,171,,,,,,60,80,110,50,80,45,425,Fire,Ghost,Cursed Body,Lightningrod,Rock Head,"3'03""",1,75,34,,,2,,,,149,75,Med Fast,50,Purple,Neutral,20,Monster,,
106,Hitmonlee,1,,106,106,144,146,,,,,,,,,,,,,,,,,,,,108,,,,,,93,50,120,53,35,110,87,455,Fighting,,Limber,Reckless,Unburden,"4'11""","1,5","109,8","49,8",,2,,,,,159,45,Med Fast,50,Brown,M (100%),25,Human-Like,,
107,Hitmonchan,1,,107,107,145,147,,,,,,,,,,,,,,,,,,,,109,,,,,,94,50,105,79,35,110,76,455,Fighting,,Keen Eye,Iron Fist,Inner Focus,"4'07""","1,4","110,7","50,2",,,,,2,,159,45,Med Fast,50,Brown,M (100%),25,Human-Like,,
108,Lickitung,1,,108,108,178,180,,,,161,,284,,,134,,,,,,375,,,,122,,54,,125,,,,90,55,75,60,75,30,385,Normal,,Own Tempo,Oblivious,Cloud Nine,"3'11""","1,2","144,4","65,5",2,,,,,,77,45,Med Fast,50,Pink,Neutral,20,Monster,,Level Up (Knowing Rollout)
109,Koffing,1,,109,109,114,115,108,113,,,,46,,,,,,,,,,,,,,250,,,,,135,,40,65,95,60,45,35,340,Poison,,Levitate,Neutralizing Gas,Stench,"2'00""","0,6","2,2",1,,,1,,,,68,190,Med Fast,50,Purple,Neutral,20,Amorphous,,Lv. 35
110,Weezing,1,,110,110,115,116,109,114,,,,47,,,,,,,,,,,,,,251,,,,,136,,65,90,120,85,70,60,490,Poison,,Levitate,Neutralizing Gas,Stench,"3'11""","1,2","20,9","9,5",,,2,,,,172,60,Med Fast,50,Purple,Neutral,20,Amorphous,,
"110,1",Weezing (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,65,90,120,85,70,60,490,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,"9'10""",3,"35,3",16,,,2,,,,172,60,Med Fast,50,Gray,Neutral,20,Amorphous,,
111,Rhyhorn,1,,111,111,206,211,169,176,,186,,,,50,,,,,,,,,,,,264,183,,120,,,5,80,85,95,30,30,25,345,Ground,Rock,Lightningrod,Rock Head,Reckless,"3'03""",1,"253,5",115,,,1,,,,69,120,Slow,50,Gray,Neutral,20,Monster,Field,Lv. 42
112,Rhydon,1,,112,112,207,212,170,177,,187,,,,51,,,,,,,,,,,,265,184,,121,,,6,105,130,120,45,45,40,485,Ground,Rock,Lightningrod,Rock Head,Reckless,"6'03""","1,9","264,6",120,,2,,,,,170,60,Slow,50,Gray,Neutral,20,Monster,Field,Trade (Holding Protector)
113,Chansey,1,,113,113,217,222,,,97,97,,,,,,33,33,17,16,9,40,40,17,16,16,,7,,87,44,,17,250,5,5,35,105,50,450,Normal,,Natural Cure,Serene Grace,Healer,"3'07""","1,1","76,3","34,6",2,,,,,,395,30,Fast,140,Pink,F (100%),40,Fairy,,Friendship
114,Tangela,1,,114,114,179,182,,,,181,,217,,,,,,,,,,,,,,,80,,95,,,,65,55,115,100,40,60,435,Grass,,Chlorophyll,Leaf Guard,Regenerator,"3'03""",1,"77,2",35,,,1,,,,87,45,Med Fast,50,Blue,Neutral,20,Grass,,Level Up (Knowing Ancient Power)
115,Kangaskhan,1,,115,115,205,210,,,,,,,,62,,165,,92,,,199,,100,,,,172,,,,,,105,95,80,40,80,90,490,Normal,,Early Bird,Scrappy,Inner Focus,"7'03""","2,2","176,4",80,2,,,,,,172,45,Med Fast,50,Brown,F (100%),20,Monster,,
"115,1",Kangaskhan (Mega),6,Mega Evolution,,,,,,,,,,,,62,,165,,92,,,199,,100,,,,,,,,,,105,125,100,60,100,100,590,Normal,,Parental Bond,,,"7'03""","2,2","220,5",100,2,,,,,,207,45,Med Fast,50,Brown,F (100%),20,Monster,,
116,Horsea,1,,116,116,186,190,184,193,,,,,,39,,,,,,,,,,,,,198,,,,,52,30,40,70,70,25,60,295,Water,,Swift Swim,Sniper,Damp,"1'04""","0,4","17,6",8,,,,1,,,59,225,Med Fast,50,Blue,Neutral,20,Water 1,Dragon,Lv. 32
117,Seadra,1,,117,117,187,191,185,194,,,,,,40,,,,,,,,,,,,,199,,,,,53,55,65,95,95,45,85,440,Water,,Poison Point,Sniper,Damp,"3'11""","1,2","55,1",25,,,1,1,,,154,75,Med Fast,50,Blue,Neutral,20,Water 1,Dragon,Trade (Holding Dragon Scale)
118,Goldeen,1,,118,118,78,78,50,51,78,78,,,53,,,153,,80,72,,186,,87,78,,146,94,,,,,,45,67,60,35,50,63,320,Water,,Swift Swim,Water Veil,Lightningrod,"2'00""","0,6","33,1",15,,1,,,,,64,225,Med Fast,50,Red,Neutral,20,Water 2,,Lv. 33
119,Seaking,1,,119,119,79,79,51,52,79,79,,,54,,,154,,81,73,,187,,88,79,,147,95,,,,,,80,92,65,65,80,68,450,Water,,Swift Swim,Water Veil,Lightningrod,"4'03""","1,3",86,39,,2,,,,,158,60,Med Fast,50,Red,Neutral,20,Water 2,,
120,Staryu,1,,120,120,167,169,143,148,,,,238,,34,,184,,111,,,223,,124,,,,98,,,,,,30,45,55,70,55,85,340,Water,,Illuminate,Natural Cure,Analytic,"2'07""","0,8","76,1","34,5",,,,,,1,68,225,Slow,50,Brown,None,20,Water 3,,Water Stone
121,Starmie,1,,121,121,168,170,144,149,,,,239,,35,,185,,112,,,224,,125,,,,99,,,,,,60,75,85,100,85,115,520,Water,Psychic,Illuminate,Natural Cure,Analytic,"3'07""","1,1","176,4",80,,,,,,2,182,60,Slow,50,Purple,None,20,Water 3,,
122,Mr. Mime,1,,122,122,156,158,,,95,95,,,,114,,,,,,,60,60,,,,365,,11,77,,,,40,45,65,100,120,90,460,Psychic,Fairy,Soundproof,Filter,Technician,"4'03""","1,3","120,2","54,5",,,,,2,,161,45,Med Fast,50,Pink,Neutral,25,Human-Like,,
"122,1",Mr. Mime (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,365,,11,,,,,50,65,65,90,90,100,460,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,"4'07""","1,4","125,2","56,8",,,,,,2,161,45,Med Fast,50,White,Neutral,25,Human-Like,,Lv. 42
123,Scyther,1,,123,123,110,111,,,,195,,,,,136,275,,,,90,365,,,,112,,118,,72,260,,19,70,110,80,55,80,105,500,Bug,Flying,Swarm,Technician,Steadfast,"4'11""","1,5","123,5",56,,1,,,,,100,45,Med Fast,50,Green,Neutral,25,Bug,,Trade (Holding Metal Coat)/Black Augurite
124,Jynx,1,,124,124,153,155,,,,,,,,,84,,,,,,110,110,,,,,,14,,,,,65,50,35,115,95,95,455,Ice,Psychic,Oblivious,Forewarn,Dry Skin,"4'07""","1,4","89,5","40,6",,,,2,,,159,45,Med Fast,50,Red,F (100%),25,Human-Like,,
125,Electabuzz,1,,125,125,155,157,,,,198,,57,,,,227,,,99,,296,,,117,,,,16,183,,,11,65,83,57,95,85,105,490,Electric,,Static,,Vital Spirit,"3'07""","1,1","66,1",30,,,,,,2,172,45,Med Fast,50,Yellow,M (75%),25,Human-Like,,Trade (Holding Electrizer)
126,Magmar,1,,126,126,151,153,,,,201,,54,,,,167,,94,,,201,,102,,,,,19,175,,,14,65,95,57,100,85,93,495,Fire,,Flame Body,,Vital Spirit,"4'03""","1,3","98,1","44,5",,,,2,,,173,45,Med Fast,50,Red,M (75%),25,Human-Like,,Trade (Holding Magmarizer)
127,Pinsir,1,,127,127,112,113,167,174,,,,146,,130,,175,,102,,65,211,,112,,78,,120,,,,,,65,125,100,55,70,85,500,Bug,,Hyper Cutter,Mold Breaker,Moxie,"4'11""","1,5","121,3",55,,2,,,,,175,45,Slow,50,Brown,Neutral,25,Bug,,
"127,1",Pinsir (Mega),6,Mega Evolution,,,,,,174,,,,,,130,,175,,102,,65,211,,112,,78,,,,,,,,65,155,120,65,90,105,600,Bug,Flying,Aerilate,,,"5'07""","1,7","130,1",59,,2,,,,,210,45,Slow,50,Brown,Neutral,25,Bug,,
128,Tauros,1,,128,128,148,150,,,,,,,,125,,137,,64,,61,170,,71,,73,,116,,,,,22,75,100,95,40,70,110,490,Normal,,Intimidate,Anger Point,Sheer Force,"4'07""","1,4","194,9","88,4",,1,,,,1,172,45,Slow,50,Brown,M (100%),20,Field,,
"128,1","Tauros (Paldean, Combat)",9,Paldean Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,75,110,105,30,70,100,490,Fighting,,Intimidate,Anger Point,Cud Chew,"4'07""","1,4","253,5",115,,1,,,,1,172,45,Slow,50,Brown,M (100%),20,Field,,
"128,2","Tauros (Paldean, Blaze)",9,Paldean Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,75,110,105,30,70,100,490,Fighting,Fire,Intimidate,Anger Point,Cud Chew,"4'07""","1,4","187,4",85,,1,,,,1,172,45,Slow,50,Brown,M (100%),20,Field,,
"128,3","Tauros (Paldean, Aqua)",9,Paldean Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,75,110,105,30,70,100,490,Fighting,Water,Intimidate,Anger Point,Cud Chew,"4'07""","1,4","242,5",110,,1,,,,1,172,45,Slow,50,Brown,M (100%),20,Field,,
